task_id,category,gold_label,predicted_label,label_correct,verifier_valid,trace_grounded,direct_f1,closure_f1,first_violation_step,num_violations,num_formula_violations,question,gold_relations,pred_edges,answer
te3_test_CNN_20130322_1003_l5,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- faking [ei2]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""faking [ei2]"", ""announced [ei5]"", ""BEFORE""]]","[[""faking [ei2]"", ""announced [ei5]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l6,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- pleaded [ei3]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pleaded [ei3]"", ""announced [ei5]"", ""BEFORE""]]","[[""pleaded"", ""announced"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l10,tempeval_relation,SIMULTANEOUS,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced. Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- announced [ei5]
- reported [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""announced [ei5]"", ""reported [ei6]"", ""SIMULTANEOUS""]]","[[""announced [ei5]"", ""reported [ei6]"", ""AFTER""]]",AFTER
te3_test_CNN_20130322_1003_l11,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- missing [ei7]
- reported [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""missing [ei7]"", ""reported [ei6]"", ""BEFORE""]]","[[""missing"", ""reported"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l15,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- reported [ei6]
- learned [ei10]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""reported [ei6]"", ""learned [ei10]"", ""AFTER""]]","[[""reported [ei6]"", ""learned [ei10]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l18,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- pulled [ei11]
- learned [ei10]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pulled [ei11]"", ""learned [ei10]"", ""BEFORE""]]","[[""pulled [ei11]"", ""learned [ei10]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l20,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding. The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- learned [ei10]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""learned [ei10]"", ""showed [ei13]"", ""BEFORE""]]","[[""learned [ei10]"", ""showed [ei13]"", ""AFTER""]]",AFTER
te3_test_CNN_20130322_1003_l21,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- pulled [ei12]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pulled [ei12]"", ""showed [ei13]"", ""BEFORE""]]","[[""pulled"", ""showed"", ""AFTER""]]",AFTER
te3_test_CNN_20130322_1003_l22,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- discovered [ei14]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""discovered [ei14]"", ""showed [ei13]"", ""BEFORE""]]","[[""discovered"", ""showed"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l23,tempeval_relation,BEFORE,SIMULTANEOUS,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- appeared [ei15]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""appeared [ei15]"", ""showed [ei13]"", ""BEFORE""]]","[[""appeared [ei15]"", ""showed [ei13]"", ""SIMULTANEOUS""]]",SIMULTANEOUS
te3_test_CNN_20130322_1003_l24,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- death [ei16]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""death [ei16]"", ""showed [ei13]"", ""BEFORE""]]","[[""death"", ""showed"", ""AFTER""]]",AFTER
te3_test_CNN_20130322_1003_l26,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- showed [ei13]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""showed [ei13]"", ""said [ei20]"", ""BEFORE""]]","[[""showed [ei13]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l27,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- wanted [ei17]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""wanted [ei17]"", ""said [ei20]"", ""BEFORE""]]","[[""wanted [ei17]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l29,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- started [ei19]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei19]"", ""said [ei20]"", ""BEFORE""]]","[[""started"", ""said"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l36,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said. State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- said [ei20]
- said [ei27]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei20]"", ""said [ei27]"", ""SIMULTANEOUS""]]","[[""said [ei20]"", ""said [ei27]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l38,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- plead [ei24]
- said [ei27]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""plead [ei24]"", ""said [ei27]"", ""BEFORE""]]","[[""plead [ei24]"", ""said [ei27]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l43,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- search [ei29]
- pay [ei28]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""search [ei29]"", ""pay [ei28]"", ""BEFORE""]]","[[""search"", ""pay"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l48,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.

Determine the temporal relation between the following event mentions.
- thought [ei31]
- told [ei30]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""thought [ei31]"", ""told [ei30]"", ""AFTER""]]","[[""thought [ei31]"", ""told [ei30]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l49,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.

Determine the temporal relation between the following event mentions.
- devised [ei32]
- told [ei30]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""devised [ei32]"", ""told [ei30]"", ""AFTER""]]","[[""devised [ei32]"", ""told [ei30]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l50,tempeval_relation,AFTER,UNKNOWN,0,0,0,0.0,0.0,2,2,1,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.

Determine the temporal relation between the following event mentions.
- fired [ei33]
- told [ei30]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""fired [ei33]"", ""told [ei30]"", ""AFTER""]]","[[""fired"", ""told"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l52012,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.

Determine the temporal relation between the following event mentions.
- unaware [ei2003]
- said [ei34]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""unaware [ei2003]"", ""said [ei34]"", ""BEFORE""]]","[[""unaware [ei2003]"", ""said [ei34]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l54,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence.

Determine the temporal relation between the following event mentions.
- uncovered [ei36]
- said [ei34]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""uncovered [ei36]"", ""said [ei34]"", ""BEFORE""]]","[[""uncovered [ei36]"", ""said [ei34]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l56,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July. Her attorney, Lenard Leeds, said she had been unaware of the ruse before she uncovered the e-mail correspondence. ""There needs to be a way for me to find out how things are going. Call me Sunday night at 8 PM at the resort,"" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing.

Determine the temporal relation between the following event mentions.
- said [ei34]
- find [ei37]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei34]"", ""find [ei37]"", ""BEFORE""]]","[[""said [ei34]"", ""find [ei37]"", ""AFTER""]]",AFTER
te3_test_CNN_20130322_1003_l62,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
""There needs to be a way for me to find out how things are going. Call me Sunday night at 8 PM at the resort,"" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing.

Determine the temporal relation between the following event mentions.
- find [ei37]
- wrote [ei40]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""find [ei37]"", ""wrote [ei40]"", ""BEFORE""]]","[[""wrote [ei40]"", ""find [ei37]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l63,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,2,2,1,"Title:
New York man admits faking his death

Passage:
""There needs to be a way for me to find out how things are going. Call me Sunday night at 8 PM at the resort,"" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing.

Determine the temporal relation between the following event mentions.
- Call [ei39]
- wrote [ei40]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""Call [ei39]"", ""wrote [ei40]"", ""BEFORE""]]","[[""wrote"", ""Call"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l67,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
""There needs to be a way for me to find out how things are going. Call me Sunday night at 8 PM at the resort,"" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing. The son's case is still pending, the district attorney said. Jonathan Roth's attorney, Joey Jackson, defended his client after his arrest, saying, ""There was abuse here, manipulation here, coercion here"" from the father.

Determine the temporal relation between the following event mentions.
- wrote [ei40]
- said [ei44]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""wrote [ei40]"", ""said [ei44]"", ""BEFORE""]]","[[""wrote [ei40]"", ""said [ei44]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l71,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The son's case is still pending, the district attorney said. Jonathan Roth's attorney, Joey Jackson, defended his client after his arrest, saying, ""There was abuse here, manipulation here, coercion here"" from the father.

Determine the temporal relation between the following event mentions.
- said [ei44]
- defended [ei45]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei44]"", ""defended [ei45]"", ""AFTER""]]","[[""said [ei44]"", ""defended [ei45]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l72,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
The son's case is still pending, the district attorney said. Jonathan Roth's attorney, Joey Jackson, defended his client after his arrest, saying, ""There was abuse here, manipulation here, coercion here"" from the father.

Determine the temporal relation between the following event mentions.
- arrest [ei46]
- defended [ei45]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""arrest [ei46]"", ""defended [ei45]"", ""BEFORE""]]","[[""arrest"", ""defended"", ""BEFORE""]]",BEFORE
