task_id,category,gold_label,predicted_label,label_correct,verifier_valid,trace_grounded,direct_f1,closure_f1,first_violation_step,num_violations,num_formula_violations,question,gold_relations,pred_edges,answer
te3_test_AP_20130322_l38,tempeval_relation,AFTER,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said. This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness.

Determine the temporal relation between the following event mentions.
- said [ei20]
- work [ei22]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei20]"", ""work [ei22]"", ""AFTER""]]",[],UNKNOWN
te3_test_AP_20130322_l54,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.

Determine the temporal relation between the following event mentions.
- started [ei1000027]
- started [ei27]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei1000027]"", ""started [ei27]"", ""SIMULTANEOUS""]]","[[""started [ei1000027]"", ""started [ei27]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l56,tempeval_relation,BEFORE,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.

Determine the temporal relation between the following event mentions.
- started [ei27]
- dropping [ei28]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei27]"", ""dropping [ei28]"", ""BEFORE""]]","[[""started"", ""dropping"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l61,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
The flu season is winding down, and it has killed 105 children so far - about the average toll. The season started about a month earlier than usual, sparking concerns it might turn into the worst in a decade. It ended up being very hard on the elderly, but was moderately severe overall, according to the Centers for Disease Control and Prevention. Six of the pediatric deaths were reported in the last week, and it's possible there will be more, said the CDC's Dr. Michael Jhung said Friday. Roughly 100 children die in an average flu season. One exception was the swine flu pandemic of 2009-2010, when 348 children died. The CDC recommends that all children ages 6 months and older be vaccinated against flu each season, though only about half get a flu shot or nasal spray. All but four of the children who died were old enough to be vaccinated, but 90 percent of them did not get vaccinated, CDC officials said. This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness.

Determine the temporal relation between the following event mentions.
- season [ei2002]
- season [ei1000028]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""season [ei2002]"", ""season [ei1000028]"", ""SIMULTANEOUS""]]","[[""season [ei2002]"", ""season [ei1000028]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l68,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness. The government only does a national flu death count for children. But it does track hospitalization rates for people 65 and older, and those statistics have been grim. In that group, 177 out of every 100,000 were hospitalized with flu-related illness in the past several months. That's more than 2 1/2 times higher than any other recent season. This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country.

Determine the temporal relation between the following event mentions.
- season [ei2002]
- season [ei2003]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""season [ei2002]"", ""season [ei2003]"", ""SIMULTANEOUS""]]","[[""season [ei2002]"", ""season [ei2003]"", ""BEFORE""]]",BEFORE
te3_test_AP_20130322_l69,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
105 U.S. Kids Died From Flu, CDC Says

Passage:
This year's vaccine was considered effective in children, though it didn't work very well in older people. And the dominant flu strain early in the season was one that tends to cause more severe illness. The government only does a national flu death count for children. But it does track hospitalization rates for people 65 and older, and those statistics have been grim. In that group, 177 out of every 100,000 were hospitalized with flu-related illness in the past several months. That's more than 2 1/2 times higher than any other recent season. This flu season started in early December, a month earlier than usual, and peaked by the end of year. Since then, flu reports have been dropping off throughout the country. ""We appear to be getting close to the end of flu season,"" Jhung said.

Determine the temporal relation between the following event mentions.
- season [ei2002]
- season [ei2004]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""season [ei2002]"", ""season [ei2004]"", ""SIMULTANEOUS""]]","[[""season [ei2002]"", ""season [ei2004]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130321_821_l5,tempeval_relation,AFTER,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
How Obama has weaponized wit

Passage:
Barack Obama would make a great stand-up comic, not because he's the funniest president ever but because he uses jokes the same way many of us comedians do: as a weapon. Traditionally, the (intentionally) funny lines by our presidents have had one thing in common: They were self-deprecating. Sure, some presidents have used jokes to take jabs at their opponents, but not to the extent of Obama.

Determine the temporal relation between the following event mentions.
- make [ei1]
- had [ei4]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""make [ei1]"", ""had [ei4]"", ""AFTER""]]","[[""make"", ""had"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130321_821_l7,tempeval_relation,SIMULTANEOUS,UNKNOWN,0,0,1,0.0,0.0,,1,0,"Title:
How Obama has weaponized wit

Passage:
Traditionally, the (intentionally) funny lines by our presidents have had one thing in common: They were self-deprecating. Sure, some presidents have used jokes to take jabs at their opponents, but not to the extent of Obama.

Determine the temporal relation between the following event mentions.
- had [ei4]
- used [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""had [ei4]"", ""used [ei5]"", ""SIMULTANEOUS""]]",[],UNKNOWN
te3_test_CNN_20130321_821_l12,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
How Obama has weaponized wit

Passage:
Traditionally, the (intentionally) funny lines by our presidents have had one thing in common: They were self-deprecating. Sure, some presidents have used jokes to take jabs at their opponents, but not to the extent of Obama. During his tenure, he has increasingly unleashed biting comedic barbs against his critics and political adversaries. These jokes are intended to do more than simply entertain you. They have an agenda.

Determine the temporal relation between the following event mentions.
- used [ei5]
- unleashed [ei8]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""used [ei5]"", ""unleashed [ei8]"", ""BEFORE""]]","[[""used [ei5]"", ""unleashed [ei8]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130321_821_l103,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
How Obama has weaponized wit

Passage:
During his tenure, he has increasingly unleashed biting comedic barbs against his critics and political adversaries. These jokes are intended to do more than simply entertain you. They have an agenda.

Determine the temporal relation between the following event mentions.
- unleashed [ei8]
- intended [ei1000]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""unleashed [ei8]"", ""intended [ei1000]"", ""AFTER""]]","[[""unleashed [ei8]"", ""intended [ei1000]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130321_821_l104,tempeval_relation,AFTER,AFTER,1,1,1,0.0,1.0,,0,0,"Title:
How Obama has weaponized wit

Passage:
Obama's humor is often delivered the way a comedian dealing with a heckler would do it. He tries to undermine his opponents with it and get the crowd -- in this case the public -- on his side. I can assure you that having a crowd laugh at your critic/heckler is not only effective in dominating them, it's also very satisfying.

Determine the temporal relation between the following event mentions.
- undermine [ei1003]
- tries [ei1002]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""undermine [ei1003]"", ""tries [ei1002]"", ""AFTER""]]","[[""tries [ei1002]"", ""undermine [ei1003]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l4,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- accused [ei1]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""accused [ei1]"", ""announced [ei5]"", ""BEFORE""]]","[[""accused [ei1]"", ""announced [ei5]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l5,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- faking [ei2]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""faking [ei2]"", ""announced [ei5]"", ""BEFORE""]]","[[""faking [ei2]"", ""announced [ei5]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l6,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced.

Determine the temporal relation between the following event mentions.
- pleaded [ei3]
- announced [ei5]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pleaded [ei3]"", ""announced [ei5]"", ""BEFORE""]]","[[""pleaded [ei3]"", ""announced [ei5]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l10,tempeval_relation,SIMULTANEOUS,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday, Nassau County District Attorney Kathleen Rice announced. Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- announced [ei5]
- reported [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""announced [ei5]"", ""reported [ei6]"", ""SIMULTANEOUS""]]","[[""announced [ei5]"", ""reported [ei6]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l11,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- missing [ei7]
- reported [ei6]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""missing [ei7]"", ""reported [ei6]"", ""BEFORE""]]","[[""missing [ei7]"", ""reported [ei6]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l15,tempeval_relation,AFTER,UNKNOWN,0,0,0,0.0,0.0,0,2,1,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- reported [ei6]
- learned [ei10]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""reported [ei6]"", ""learned [ei10]"", ""AFTER""]]","[[""reported"", ""learned"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l16,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- search [ei8]
- learned [ei10]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""search [ei8]"", ""learned [ei10]"", ""BEFORE""]]","[[""search [ei8]"", ""learned [ei10]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l18,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding.

Determine the temporal relation between the following event mentions.
- pulled [ei11]
- learned [ei10]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pulled [ei11]"", ""learned [ei10]"", ""BEFORE""]]","[[""pulled [ei11]"", ""learned [ei10]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l20,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
Raymond Roth, 48, of Massapequa, New York, was first reported missing in the waters off Jones Beach late last July by his 22-year-old son, Jonathan Roth. Several days into an extensive search involving multiple agencies, New York State Park Police said, authorities learned the missing man was in South Carolina, where he had been pulled over for speeding. The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- learned [ei10]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""learned [ei10]"", ""showed [ei13]"", ""BEFORE""]]","[[""learned [ei10]"", ""showed [ei13]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l21,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- pulled [ei12]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""pulled [ei12]"", ""showed [ei13]"", ""BEFORE""]]","[[""showed [ei13]"", ""pulled [ei12]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l22,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- discovered [ei14]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""discovered [ei14]"", ""showed [ei13]"", ""BEFORE""]]","[[""discovered [ei14]"", ""showed [ei13]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l23,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- appeared [ei15]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""appeared [ei15]"", ""showed [ei13]"", ""BEFORE""]]","[[""showed [ei13]"", ""appeared [ei15]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l24,tempeval_relation,BEFORE,AFTER,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- death [ei16]
- showed [ei13]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""death [ei16]"", ""showed [ei13]"", ""BEFORE""]]","[[""showed [ei13]"", ""death [ei16]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l26,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- showed [ei13]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""showed [ei13]"", ""said [ei20]"", ""BEFORE""]]","[[""showed [ei13]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l27,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- wanted [ei17]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""wanted [ei17]"", ""said [ei20]"", ""BEFORE""]]","[[""wanted [ei17]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l29,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said.

Determine the temporal relation between the following event mentions.
- started [ei19]
- said [ei20]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""started [ei19]"", ""said [ei20]"", ""BEFORE""]]","[[""started [ei19]"", ""said [ei20]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l32,tempeval_relation,AFTER,BEFORE,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said. State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- said [ei20]
- arrested [ei21]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei20]"", ""arrested [ei21]"", ""AFTER""]]","[[""said [ei20]"", ""arrested [ei21]"", ""BEFORE""]]",BEFORE
te3_test_CNN_20130322_1003_l36,tempeval_relation,SIMULTANEOUS,UNKNOWN,0,1,1,0.0,0.0,,0,0,"Title:
New York man admits faking his death

Passage:
The day before Raymond Roth was pulled over, his wife, Evana, showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death. Raymond Roth wanted his wife and son to collect at least $410,000 in life insurance benefits while he started a new life in Florida, Rice said. State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- said [ei20]
- said [ei27]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""said [ei20]"", ""said [ei27]"", ""SIMULTANEOUS""]]",[],UNKNOWN
te3_test_CNN_20130322_1003_l37,tempeval_relation,BEFORE,BEFORE,1,1,1,1.0,1.0,,0,0,"Title:
New York man admits faking his death

Passage:
State police arrested both men in early August on charges of insurance fraud, conspiracy and filing a false report. Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years' probation, the district attorney's office said. He also must pay restitution for the cost of the search -- $27,445 to the U.S. Coast Guard and $9,109 to the Nassau County Police Department.

Determine the temporal relation between the following event mentions.
- agreed [ei23]
- said [ei27]

Use one of: BEFORE, AFTER, SIMULTANEOUS, UNKNOWN.","[[""agreed [ei23]"", ""said [ei27]"", ""BEFORE""]]","[[""agreed [ei23]"", ""said [ei27]"", ""BEFORE""]]",BEFORE
